bairro,lat,lon,ano,mes,temp_max_media,temp_max_abs,chuva_total,umidade_min_media,estacao
Abolição,-22.881,-43.33,2020,1,31.470967741935485,37.5,154.7,56.645161290322584,Verao
Abolição,-22.881,-43.33,2020,2,30.16206896551724,36.1,331.8,63.48275862068966,Verao
Abolição,-22.881,-43.33,2020,3,28.416129032258063,34.4,154.9,64.93548387096774,Outono
Abolição,-22.881,-43.33,2020,4,27.17,32.7,48.2,62.36666666666667,Outono
Abolição,-22.881,-43.33,2020,5,26.17096774193548,31.8,103.7,56.03225806451613,Outono
Abolição,-22.881,-43.33,2020,6,27.603333333333335,33.3,27.5,55.166666666666664,Inverno
Abolição,-22.881,-43.33,2020,7,27.019354838709678,32.9,57.0,53.483870967741936,Inverno
Abolição,-22.881,-43.33,2020,8,26.612903225806452,33.8,62.7,52.25806451612903,Inverno
Abolição,-22.881,-43.33,2020,9,30.263333333333332,37.2,146.2,51.8,Primavera
Abolição,-22.881,-43.33,2020,10,29.238709677419354,40.2,93.7,56.645161290322584,Primavera
Abolição,-22.881,-43.33,2020,11,27.759999999999998,35.5,169.7,64.23333333333333,Primavera
Abolição,-22.881,-43.33,2020,12,30.322580645161292,37.0,229.4,63.03225806451613,Verao
Abolição,-22.881,-43.33,2021,1,33.34516129032258,39.9,173.7,49.54838709677419,Verao
Abolição,-22.881,-43.33,2021,2,31.017857142857142,39.5,138.2,56.92857142857143,Verao
Abolição,-22.881,-43.33,2021,3,32.23870967741935,36.4,134.7,51.70967741935484,Outono
Abolição,-22.881,-43.33,2021,4,27.256666666666668,34.2,104.7,57.93333333333333,Outono
Abolição,-22.881,-43.33,2021,5,26.706451612903226,34.1,46.7,57.74193548387097,Outono
Abolição,-22.881,-43.33,2021,6,25.073333333333334,31.0,52.9,60.666666666666664,Inverno
Abolição,-22.881,-43.33,2021,7,24.241935483870968,31.9,20.5,52.225806451612904,Inverno
Abolição,-22.881,-43.33,2021,8,26.741935483870968,35.0,78.4,52.70967741935484,Inverno
Abolição,-22.881,-43.33,2021,9,28.723333333333333,39.4,25.0,55.2,Primavera
Abolição,-22.881,-43.33,2021,10,26.4741935483871,34.7,197.20000000000002,67.3225806451613,Primavera
Abolição,-22.881,-43.33,2021,11,27.6,35.3,137.3,61.3,Primavera
Abolição,-22.881,-43.33,2021,12,28.809677419354838,35.3,248.9,63.096774193548384,Verao
Abolição,-22.881,-43.33,2022,1,31.187096774193545,37.6,232.1,59.74193548387097,Verao
Abolição,-22.881,-43.33,2022,2,30.07857142857143,34.5,167.8,64.14285714285714,Verao
Abolição,-22.881,-43.33,2022,3,33.596774193548384,37.6,88.8,44.483870967741936,Outono
Abolição,-22.881,-43.33,2022,4,28.496666666666666,34.9,134.9,61.666666666666664,Outono
Abolição,-22.881,-43.33,2022,5,26.35483870967742,33.2,55.6,56.516129032258064,Outono
Abolição,-22.881,-43.33,2022,6,25.023333333333333,29.7,64.19999999999999,59.1,Inverno
Abolição,-22.881,-43.33,2022,7,27.812903225806455,33.5,17.6,46.87096774193548,Inverno
Abolição,-22.881,-43.33,2022,8,25.932258064516127,34.2,58.800000000000004,52.903225806451616,Inverno
Abolição,-22.881,-43.33,2022,9,25.52,37.4,143.4,58.03333333333333,Primavera
Abolição,-22.881,-43.33,2022,10,28.916129032258063,34.4,77.5,61.225806451612904,Primavera
Abolição,-22.881,-43.33,2022,11,26.913333333333334,33.5,207.5,63.833333333333336,Primavera
Abolição,-22.881,-43.33,2022,12,28.967741935483872,35.3,251.1,63.25806451612903,Verao
Abolição,-22.881,-43.33,2023,1,30.406451612903226,34.7,275.8,63.03225806451613,Verao
Abolição,-22.881,-43.33,2023,2,32.496428571428574,37.1,233.2,58.607142857142854,Verao
Abolição,-22.881,-43.33,2023,3,31.57741935483871,36.9,88.4,57.38709677419355,Outono
Abolição,-22.881,-43.33,2023,4,27.81,32.5,97.0,61.56666666666667,Outono
Abolição,-22.881,-43.33,2023,5,26.129032258064516,30.8,64.0,60.58064516129032,Outono
Abolição,-22.881,-43.33,2023,6,26.44,30.6,17.7,52.233333333333334,Inverno
Abolição,-22.881,-43.33,2023,7,26.429032258064513,35.0,48.6,50.16129032258065,Inverno
Abolição,-22.881,-43.33,2023,8,27.799999999999997,37.4,96.39999999999999,54.516129032258064,Inverno
Abolição,-22.881,-43.33,2023,9,31.133333333333333,39.4,38.2,48.4,Primavera
Abolição,-22.881,-43.33,2023,10,29.712903225806453,38.1,82.9,62.25806451612903,Primavera
